00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
1996.7556479584093      36.81990     -121.53334    4.255      5.95388             30119654    SJBPK1028_freq8-24Hz_maxdist3_coh9700   1.56      5.95388
2004.2152174091782      36.81990     -121.53334    4.255     12.12125             21352008    SJBPK1028_freq8-24Hz_maxdist3_coh9700   1.62      6.16737
2006.3597735286658      36.81990     -121.53334    4.255     18.11019             30507187    SJBPK1028_freq8-24Hz_maxdist3_coh9700   1.57      5.98894
2004.2036413428457      36.18015     -120.75185    2.121      6.05968             21350594    SJBPK1029_freq8-24Hz_maxdist3_coh9700   1.59      6.05968
2011.4158471588025      36.18015     -120.75185    2.121     10.87916             71578685    SJBPK1029_freq8-24Hz_maxdist3_coh9700   1.20      4.81948
2014.7206978373922      36.18015     -120.75185    2.121     15.72702             72302816    SJBPK1029_freq8-24Hz_maxdist3_coh9700   1.21      4.84786
2018.4393969431760      36.18015     -120.75185    2.121     20.63215             73028221    SJBPK1029_freq8-24Hz_maxdist3_coh9700   1.23      4.90512
2012.8048486515888      36.30273     -120.85120    5.981      5.74778             71864100     SJBPK102_freq8-24Hz_maxdist3_coh9700   1.50      5.74778
2012.8431376492613      36.30273     -120.85120    5.981     11.73672             71875260     SJBPK102_freq8-24Hz_maxdist3_coh9700   1.57      5.98894
1995.8744061073060      36.68865     -121.32144    4.604      6.69576             30089889    SJBPK1030_freq8-24Hz_maxdist3_coh9700   1.76      6.69576
2004.1893436298319      36.68865     -121.32144    4.604     12.47739             21349272    SJBPK1030_freq8-24Hz_maxdist3_coh9700   1.51      5.78163
2019.8409462201928      36.68865     -121.32144    4.604     18.36176             73300465    SJBPK1030_freq8-24Hz_maxdist3_coh9700   1.54      5.88437
2004.1879055669399      36.23724     -120.79955    5.669      5.20176             21349089    SJBPK1031_freq8-24Hz_maxdist3_coh9700   1.33      5.20176
2005.3352672501269      36.23724     -120.79955    5.669      9.56340             21453751    SJBPK1031_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2004.1821329816839      36.27146     -120.84377    6.257      6.20369             21348475    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.63      6.20369
2005.8729072805681      36.27146     -120.84377    6.257     11.68772             21495056    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.42      5.48403
2008.8023691750152      36.27146     -120.84377    6.257     17.26921             51209827    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.45      5.58149
2010.5041828069509      36.27146     -120.84377    6.257     23.18823             71419285    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.55      5.91902
2015.6444605213089      36.27146     -120.84377    6.257     29.39192             72511716    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.63      6.20369
2017.4544409563673      36.27146     -120.84377    6.257     34.59368             72816571    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.33      5.20176
2019.5301726281075      36.27146     -120.84377    6.257     40.47805             73221881    SJBPK1032_freq8-24Hz_maxdist3_coh9700   1.54      5.88437
1993.9173566083207      35.91886     -120.46649    6.624      4.41316             30036449    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.05      4.41316
1995.6393335553018      35.91886     -120.46649    6.624      9.55419             30080992    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2004.1734620711900      35.91886     -120.46649    6.624     14.69522             21347683    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.31      5.14103
2004.7442224499089      35.91886     -120.46649    6.624     19.65828             21401197    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.25      4.96307
2004.7565987085104      35.91886     -120.46649    6.624     24.36589             21403262    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.16      4.70761
2004.8302854622041      35.91886     -120.46649    6.624     29.12910             21415938    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.18      4.76321
2005.1746286783359      35.91886     -120.46649    6.624     34.15079             21443346    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.27      5.02169
2010.8382763191273      35.91886     -120.46649    6.624     38.51244             71482996    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.03      4.36164
2018.2758766489092      35.91886     -120.46649    6.624     42.92560             72998326    SJBPK1033_freq8-24Hz_maxdist3_coh9700   1.05      4.41316
1995.5289805618975      36.01331     -120.57308    4.223     10.09950             30077124    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.46     10.09950
2004.1709417375025      36.01331     -120.57308    4.223     19.56732             21347442    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.35      9.46782
2005.1948631405378      36.01331     -120.57308    4.223     31.05944             21445004    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.68     11.49212
2007.3243309868087      36.01331     -120.57308    4.223     40.98260             51181329    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.43      9.92316
2013.1629667047184      36.01331     -120.57308    4.223     50.50617             71946475    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.36      9.52357
2016.9083500303582      36.01331     -120.57308    4.223     60.96782             72730295    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.52     10.46165
2019.0274870306951      36.01331     -120.57308    4.223     73.74103             73131821    SJBPK1034_freq8-24Hz_maxdist3_coh9700   2.86     12.77321
1995.5288748414509      36.01409     -120.57366    4.273      7.70904             30077122    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.00      7.70904
1998.7724635337393      36.01409     -120.57366    4.273     15.93241             30201261    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.11      8.22337
2004.1709337684679      36.01409     -120.57366    4.273     23.64144             21347440    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.00      7.70904
2004.7726660848007      36.01409     -120.57366    4.273     32.15969             21406213    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.17      8.51824
2005.1948658358701      36.01409     -120.57366    4.273     42.08285             30506788    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.43      9.92316
2006.0062571347032      36.01409     -120.57366    4.273     49.79188             21501812    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.00      7.70904
2006.5841578513446      36.01409     -120.57366    4.273     54.52721             21530240    SJBPK1035_freq8-24Hz_maxdist3_coh9700   1.17      4.73533
2006.6461265537798      36.01409     -120.57366    4.273     62.89672             21533832    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.14      8.36951
2007.4072453069507      36.01409     -120.57366    4.273     70.97651             51182366    SJBPK1035_freq8-24Hz_maxdist3_coh9700   2.08      8.07979
2016.9083464253188      36.01409     -120.57366    4.273     78.46251             72730290    SJBPK1035_freq8-24Hz_maxdist3_coh9700   1.95      7.48600
2017.7825586948250      36.01409     -120.57366    4.273     85.19770             72908471    SJBPK1035_freq8-24Hz_maxdist3_coh9700   1.77      6.73519
2019.0274740613902      36.01409     -120.57366    4.273     92.01245             73131811    SJBPK1035_freq8-24Hz_maxdist3_coh9700   1.79      6.81475
2004.1095632210079      36.46815     -121.04603    5.827      8.12737             21341648    SJBPK1036_freq8-24Hz_maxdist3_coh9700   2.09      8.12737
2005.9756162480974      36.46815     -121.04603    5.827     14.04639             30229810    SJBPK1036_freq8-24Hz_maxdist3_coh9700   1.55      5.91902
2008.9727814776868      36.46815     -121.04603    5.827     22.31819             51213597    SJBPK1036_freq8-24Hz_maxdist3_coh9700   2.12      8.27180
2011.5188581938103      36.46815     -121.04603    5.827     29.76037             71598200    SJBPK1036_freq8-24Hz_maxdist3_coh9700   1.94      7.44218
2013.2183251522069      36.46815     -121.04603    5.827     37.07260             71958025    SJBPK1036_freq8-24Hz_maxdist3_coh9700   1.91      7.31223
2018.2623122146119      36.46815     -121.04603    5.827     45.24783             72996156    SJBPK1036_freq8-24Hz_maxdist3_coh9700   2.10      8.17523
2018.2623122146119      36.23173     -120.79851    7.261      5.20176             21340156    SJBPK1037_freq8-24Hz_maxdist3_coh9700   1.33      5.20176
2005.6113994165398      36.23173     -120.79851    7.261     10.65368             21476459    SJBPK1037_freq8-24Hz_maxdist3_coh9700   1.41      5.45193
2019.8880924340435      36.23173     -120.79851    7.261     15.27909             73306831    SJBPK1037_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
2004.0738116967718      36.59102     -121.19641    8.831      4.54465             21338202    SJBPK1038_freq8-24Hz_maxdist3_coh9700   1.10      4.54465
2006.8367024036022      36.59102     -121.19641    8.831      9.17005             21546295    SJBPK1038_freq8-24Hz_maxdist3_coh9700   1.13      4.62541
1995.5232491121258      37.06651     -121.89780   14.524      4.93401             30076930    SJBPK1039_freq8-24Hz_maxdist3_coh9700   1.24      4.93401
2004.0522742423093      37.06651     -121.89780   14.524     10.32229             21335585    SJBPK1039_freq8-24Hz_maxdist3_coh9700   1.39      5.38828
2012.8046988210888      36.30025     -120.84896    7.125      7.98546             71864060     SJBPK103_freq8-24Hz_maxdist3_coh9700   2.06      7.98546
2012.8577440674965      36.30025     -120.84896    7.125     15.69450             71879135     SJBPK103_freq8-24Hz_maxdist3_coh9700   2.00      7.70904
1995.9501270611365      36.98821     -121.46724    4.849      6.85488             30091931    SJBPK1040_freq8-24Hz_maxdist3_coh9700   1.80      6.85488
2004.0486152853673      36.98821     -121.46724    4.849     13.95556             21335190    SJBPK1040_freq8-24Hz_maxdist3_coh9700   1.86      7.10068
