Doublet_ID	Avg_CC	No_CC	std_m_s	No_ddt_m Date Time Lat_deg Lon_deg	Depth_km Mag Date_2 Time_2 Lat_deg_2 Lon_deg_2	Depth_km_2 Mag_2
1994277_2002248	0.986	29	0.0078	24	1994/10/04	12:09:40.150	-6.218	104.891	24.3	5.2	2002/09/05	00:14:42.090	-6.199	104.876	43.7	5.2
1994277_2009247	0.966	25	0.0051	18	1994/10/04	12:09:40.150	-6.218	104.891	24.3	5.2	2009/09/04	00:52:08.110	-6.286	104.794	46.0	5.1
1994277_2017312	0.981	15	0.0085	11	1994/10/04	12:09:40.150	-6.218	104.891	24.3	5.2	2017/11/08	19:17:06.960	-6.507	104.615	35.0	5.0
1994298_2007106	0.972	12	0.0127	6	1994/10/25	07:18:42.300	27.329	129.284	33.0	5.0	2007/04/16	09:04:54.810	27.453	129.255	30.4	5.0
1994298_2014162	0.974	13	0.0072	5	1994/10/25	07:18:42.300	27.329	129.284	33.0	5.0	2014/06/11	07:30:59.800	27.427	129.286	30.6	5.0
1994299_2009005	0.976	12	0.0166	10	1994/10/26	03:31:16.810	-27.520	-176.909	168.3	5.4	2009/01/05	22:27:13.890	-27.480	-176.706	47.0	5.4
1994304_2000278	0.963	12	0.0276	7	1994/10/31	23:04:07.690	-17.876	-172.883	33.0	5.5	2000/10/04	15:39:27.710	-17.747	-173.199	33.0	5.1
1994317_2007110	0.972	22	0.0094	17	1994/11/13	09:07:12.180	-0.221	124.424	35.3	5.2	2007/04/20	13:21:00.970	-0.140	124.416	20.9	5.1
1994317_2011125	0.958	19	0.0094	15	1994/11/13	09:07:12.180	-0.221	124.424	35.3	5.2	2011/05/05	08:45:29.000	-0.199	124.483	73.0	5.0
1994343_1999268	0.968	7	0.0145	3	1994/12/09	18:10:21.300	-21.696	-175.311	93.0	5.3	1999/09/25	15:59:35.740	-22.020	-175.144	33.0	5.4
1994343_2000336	0.971	6	0.0151	3	1994/12/09	18:10:21.300	-21.696	-175.311	93.0	5.3	2000/12/01	04:53:51.820	-21.715	-175.312	33.0	5.2
1994354_2012262	0.989	15	0.0061	14	1994/12/20	11:08:50.670	-6.134	103.933	37.0	5.5	2012/09/18	03:23:45.840	-6.169	103.739	35.0	5.2
1995001_1996177	0.968	29	0.0098	25	1995/01/01	12:30:05.300	40.049	142.686	42.0	5.2	1996/06/25	21:37:02.680	39.971	142.839	44.9	5.0
1995001_2002101	0.979	19	0.0084	17	1995/01/01	12:30:05.300	40.049	142.686	42.0	5.2	2002/04/11	12:04:13.480	39.987	142.813	35.9	5.3
1995001_2011122	0.984	22	0.0097	21	1995/01/01	12:30:05.300	40.049	142.686	42.0	5.2	2011/05/02	21:25:49.540	40.102	142.564	32.3	5.1
1995001_2014016	0.974	21	0.0089	15	1995/01/01	12:30:05.300	40.049	142.686	42.0	5.2	2014/01/16	01:12:17.710	40.115	142.818	51.8	5.1
1995005_2009174	0.977	15	0.0121	12	1995/01/05	12:07:36.750	39.209	143.510	29.5	5.2	2009/06/23	07:24:13.380	39.203	143.463	28.0	5.1
