00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2012.8224954146428      36.30958     -120.85601    7.116     11.30840             71869650     SJBPK102_freq8-24Hz_maxdist3_coh9650   1.31      5.14103
2013.0850709665144      36.30958     -120.85601    7.116     16.66513             71932596     SJBPK102_freq8-24Hz_maxdist3_coh9650   1.38      5.35673
2003.8093323186199      35.81173     -120.35741    6.661      6.05968             21314472    SJBPK1030_freq8-24Hz_maxdist3_coh9650   1.59      6.05968
2011.9945156646372      35.81173     -120.35741    6.661     11.57601             71702510    SJBPK1030_freq8-24Hz_maxdist3_coh9650   1.43      5.51633
2003.8089982559613      35.98790     -120.54585    6.879      4.54465             21314459    SJBPK1031_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.7486167400323      35.98790     -120.54585    6.879      9.06268             21401362    SJBPK1031_freq8-24Hz_maxdist3_coh9650   1.09      4.51804
2004.8622142848108      35.98790     -120.54585    6.879     13.58072             21418934    SJBPK1031_freq8-24Hz_maxdist3_coh9650   1.09      4.51804
2003.8044470129375      35.93624     -120.48569    5.085      4.65265             21314134    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2004.7459649172738      35.93624     -120.48569    5.085      9.33269             21400915    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.15      4.68004
2004.7459649172738      35.93624     -120.48569    5.085     14.06802             21402645    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.17      4.73533
2004.7603912416514      35.93624     -120.48569    5.085     18.61266             21404781    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.10      4.54465
2004.7817584686804      35.93624     -120.48569    5.085     23.29271             30228514    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.15      4.68004
2004.7817584686804      35.93624     -120.48569    5.085     28.22672             21415128    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.24      4.93401
2004.8742277309755      35.93624     -120.48569    5.085     32.93432             21420014    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.16      4.70761
2004.9511941535113      35.93624     -120.48569    5.085     37.64193             21427175    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.16      4.70761
2005.1471059424150      35.93624     -120.48569    5.085     42.29457             21441255    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2005.8396362886861      35.93624     -120.48569    5.085     46.94722             21493260    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2006.8271600076102      35.93624     -120.48569    5.085     51.59987             21545589    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2010.9062151192288      35.93624     -120.48569    5.085     56.03902             71489175    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.06      4.43915
2013.3106651763064      35.93624     -120.48569    5.085     60.69166             71976385    SJBPK1032_freq8-24Hz_maxdist3_coh9650   1.14      4.65265
2003.8011863901572      36.65973     -121.28599    8.553      8.61886             21313872    SJBPK1033_freq8-24Hz_maxdist3_coh9650   2.19      8.61886
2017.9903506151700      36.65973     -121.28599    8.553     16.98837             72945166    SJBPK1033_freq8-24Hz_maxdist3_coh9650   2.14      8.36951
2003.8008064751396      36.00602     -120.56545    4.273      4.59833             21313847    SJBPK1034_freq8-24Hz_maxdist3_coh9650   1.12      4.59833
2005.8422575152208      36.00602     -120.56545    4.273      8.88381             21493440    SJBPK1034_freq8-24Hz_maxdist3_coh9650   1.00      4.28549
2006.3277268518518      36.00602     -120.56545    4.273     13.37540             21514977    SJBPK1034_freq8-24Hz_maxdist3_coh9650   1.08      4.49159
